id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp
1f831182-d3cd-49d6-aec5-ce6743908415,N718,Florence (Villa Costanza),Bordeaux - Nice - Florence,3617.0,2026-05-13T09:58:33Z,2026-05-13T08:55:00Z
56a3d5a0-5026-494a-a4e7-21e6742cd8a4,501,Naples (FS Park Stazione Centrale),Turin - Naples,232.0,2026-05-13T09:22:10Z,2026-05-13T09:15:00Z
8ab42e4d-ea1a-414c-9261-4bc0295004fb,798,Marseille (Saint-Charles),Marseille - Milan,3842.0,2026-05-13T10:47:10Z,2026-05-13T09:40:00Z
ea707c63-d4b0-4e14-86a9-81469eddfb56,482,Montpellier (Sabines),Venice - Montpellier,1220.0,2026-05-13T10:53:34Z,2026-05-13T10:30:00Z
30d07332-87b5-4723-829e-a1013810b55f,408,Bolzano South (Stazione FS),Genoa - Bozen,,,2026-05-13T11:25:00Z
40089f4b-d702-4a57-bfe8-fbeb9e73386a,N1138,Lisbon (Oriente),Lisbon - Milan,222.0,2026-05-13T11:08:44Z,2026-05-13T11:30:00Z
88e1da69-593e-4c80-bbd8-c57d8e882798,N456,Marseille (Saint-Antoine),Lublin - Milan - Marseille,467.0,2026-05-13T11:11:48Z,2026-05-13T12:30:00Z
a3a96a3b-a5fa-4feb-85e3-cd9d9808e6d3,494,Bolzano South (Stazione FS),Bolzano - Genoa,,,2026-05-13T12:50:00Z
ac572c34-3989-4c7c-92d1-84b8afdf1fd0,N719,Paris (Bercy Seine),Paris - Nice - Genova,,2026-05-12T10:26:07Z,2026-05-13T13:05:00Z
459639cf-37e0-456a-98dd-5c61d0a21916,798,Milan (Lampugnano bus station),Marseille - Milan,1303.0,2026-05-13T11:13:06Z,2026-05-13T13:20:00Z
d704db07-c0f2-4661-a965-a60f19ba3384,474,Savona (Stazione FS),Como - Savona,,,2026-05-13T13:35:00Z
fb161d49-07bf-41c6-8807-6924355a96bd,N506,Brussels-North train station,Genoa - Brussels,,,2026-05-13T13:40:00Z
addb3051-def1-45b7-a6bc-1dfcc80ba72b,N1138,Milan (Lampugnano bus station),Lisbon - Milan,0.0,2026-05-13T11:06:30Z,2026-05-13T14:10:00Z
57294b9d-7e4f-4572-9bb3-5f4890e00f02,N456,"Lublin, Bus Station Lublin",Lublin - Milan - Marseille,0.0,2026-05-13T08:49:39Z,2026-05-13T14:15:00Z
3089c4a9-9d8d-49d4-8e6a-8fb5e71014a6,482,Venice (Tronchetto),Venice - Montpellier,0.0,2026-05-13T05:21:03Z,2026-05-13T14:30:00Z
19e45665-0d0b-4641-b6a4-23744305c89d,500,Milan (Lampugnano bus station),Milan - Genoa/Rome/Aprilia,,,2026-05-13T14:40:00Z
1fd546f5-808e-4518-8ece-cdf45bae3fa8,1501,Florence (Villa Costanza),Florence - Dijon,0.0,2026-05-13T05:44:44Z,2026-05-13T16:20:00Z
8b663350-0728-4ae2-bcde-95cf9a1792c5,N718,Bordeaux (Saint-Jean - Paludate),Bordeaux - Nice - Florence,,,2026-05-13T16:35:00Z
